card_number,set,set_card_number,player,team,notes,parallel
1,Future Stars,1,Max Dowman,Arsenal,,Base
1,Future Stars,1,Max Dowman,Arsenal,,Blue Voltage
1,Future Stars,1,Max Dowman,Arsenal,,Gold Rainbow Laser
1,Future Stars,1,Max Dowman,Arsenal,,Green Voltage
1,Future Stars,1,Max Dowman,Arsenal,,Pink Voltage
1,Future Stars,1,Max Dowman,Arsenal,,PL
1,Future Stars,1,Max Dowman,Arsenal,,Purple Voltage
1,Future Stars,1,Max Dowman,Arsenal,,Yellow Voltage
1,Future Stars,1,Max Dowman,Arsenal,,Aqua Sparkle /499
1,Future Stars,1,Max Dowman,Arsenal,,Pink Mini-Diamonds /399
1,Future Stars,1,Max Dowman,Arsenal,,Pink Sparkle /399
1,Future Stars,1,Max Dowman,Arsenal,,Yellow Mini-Diamonds /299
1,Future Stars,1,Max Dowman,Arsenal,,Yellow Sparkle /299
1,Future Stars,1,Max Dowman,Arsenal,,Purple Mini-Diamonds /199
1,Future Stars,1,Max Dowman,Arsenal,,Purple Sparkle /199
1,Future Stars,1,Max Dowman,Arsenal,,Blue /150
1,Future Stars,1,Max Dowman,Arsenal,,Blue Mini-Diamonds /150
1,Future Stars,1,Max Dowman,Arsenal,,Blue Sparkle /150
1,Future Stars,1,Max Dowman,Arsenal,,Green /99
1,Future Stars,1,Max Dowman,Arsenal,,Green Mini-Diamonds /99
1,Future Stars,1,Max Dowman,Arsenal,,Green Sparkle /99
1,Future Stars,1,Max Dowman,Arsenal,,Black & White /75
1,Future Stars,1,Max Dowman,Arsenal,,Black & White Mini-Diamonds /75
1,Future Stars,1,Max Dowman,Arsenal,,Black & White Sparkle /75
1,Future Stars,1,Max Dowman,Arsenal,,Gold /50
1,Future Stars,1,Max Dowman,Arsenal,,Gold Mini-Diamonds /50
1,Future Stars,1,Max Dowman,Arsenal,,Gold Sparkle /50
1,Future Stars,1,Max Dowman,Arsenal,,Netbuster /38
1,Future Stars,1,Max Dowman,Arsenal,,Orange /25
1,Future Stars,1,Max Dowman,Arsenal,,Orange Mini-Diamonds /25
1,Future Stars,1,Max Dowman,Arsenal,,Orange Sparkle /25
1,Future Stars,1,Max Dowman,Arsenal,,Black /10
1,Future Stars,1,Max Dowman,Arsenal,,Black Mini-Diamonds /10
1,Future Stars,1,Max Dowman,Arsenal,,Black Sparkle /10
1,Future Stars,1,Max Dowman,Arsenal,,Red /5
1,Future Stars,1,Max Dowman,Arsenal,,Red Mini-Diamonds /5
1,Future Stars,1,Max Dowman,Arsenal,,Red Sparkle /5
1,Future Stars,1,Max Dowman,Arsenal,,FoilFractor 1/1
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Base
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Blue Voltage
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Gold Rainbow Laser
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Green Voltage
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Pink Voltage
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,PL
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Purple Voltage
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Yellow Voltage
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Aqua Sparkle /499
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Pink Mini-Diamonds /399
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Pink Sparkle /399
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Yellow Mini-Diamonds /299
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Yellow Sparkle /299
